ma_window,slope_window,segment,start,end,rows,avg_weight,avg_turnover,cagr,vol,sharpe,max_dd,calmar,total_return,final_nav,mode,r2_window,r2_threshold,switch_buffer,entry_fraction,entry_wait_days,target_vol,vol_window,scale_threshold
60,20,last_3y,2023-05-04,2026-05-06,727,0.6031767796167383,0.17336209478303866,0.4938478446580259,0.1914938801933858,2.2087801359981873,-0.12117605493881545,4.075457357539664,2.341895382922702,3.341895382922702,formal,20,0.2,1.03,0.5,,0.25,140,0.15
60,20,last_5y,2021-05-06,2026-05-06,1211,0.6959850560014027,0.20605204040825265,0.36613396269647613,0.18227170662200273,1.8141587865443363,-0.16673475342265842,2.19590670319557,3.7574441765689217,4.757444176568922,formal,20,0.2,1.03,0.5,,0.25,140,0.15
60,20,last_10y,2016-05-04,2026-05-06,2429,0.6798406251770518,0.22164664002579795,0.327397014929224,0.18221886198752008,1.65281050056606,-0.1667347534226573,1.9635799268512582,16.002528186958067,17.002528186958067,formal,20,0.2,1.03,0.5,,0.25,140,0.15
60,20,full_common,2010-09-29,2026-05-06,3786,0.6968582115523556,0.22138931859053407,0.33671042710124777,0.20333398820833914,1.5367388629456302,-0.2428625877940951,1.386423615755586,91.51602094257274,92.51602094257274,formal,20,0.2,1.03,0.5,,0.25,140,0.15
60,20,last_1y,2025-05-06,2026-05-06,243,0.7348025634654533,0.18364197530864199,1.1316883738130343,0.2040404318244304,3.828222743207973,-0.062068609892664495,18.23286159896392,1.130584275533661,2.130584275533661,formal,20,0.2,1.03,0.5,,0.25,140,0.2
60,20,last_3y,2023-05-04,2026-05-06,727,0.603346605941758,0.17323604428641518,0.4947216175075091,0.1918681022385893,2.2079140042697674,-0.12117605493881545,4.082668129089574,2.3477750390838117,3.3477750390838117,formal,20,0.2,1.03,0.5,,0.25,140,0.2
60,20,last_5y,2021-05-06,2026-05-06,1211,0.6960870078909892,0.20597636847510212,0.3666143996550295,0.18250850157749687,1.8139772562778038,-0.16673475342265842,2.198788147817589,3.7658143176890784,4.765814317689078,formal,20,0.2,1.03,0.5,,0.25,140,0.2
60,20,last_10y,2016-05-04,2026-05-06,2429,0.6839165882493067,0.22257045884066606,0.3314786439752666,0.18297111348122988,1.6636313523658675,-0.1667347534226573,1.988059700637207,16.532855888657068,17.532855888657068,formal,20,0.2,1.03,0.5,,0.25,140,0.2
60,20,full_common,2010-09-29,2026-05-06,3786,0.6841012489192757,0.21764430571218704,0.3300192867219609,0.19892815383676937,1.5409619597618722,-0.22348276822318536,1.476710215046114,84.5495550362297,85.5495550362297,formal,20,0.2,1.03,0.5,,0.25,140,0.2
60,20,last_1y,2025-05-06,2026-05-06,243,0.7255811803085591,0.18173791172536774,1.1280069642958512,0.20197231893482373,3.856756622651974,-0.062068609892664606,18.17354966135888,1.1269072890936709,2.126907289093671,formal,20,0.2,1.03,0.5,,0.25,160,0.1
60,20,last_3y,2023-05-04,2026-05-06,727,0.6038103665937218,0.17362095744338898,0.49445354063641167,0.1916515800737799,2.2092181239400093,-0.12196462761915494,4.054073302141219,2.3459704044817595,3.3459704044817595,formal,20,0.2,1.03,0.5,,0.25,160,0.1
60,20,last_5y,2021-05-06,2026-05-06,1211,0.6984213565722779,0.20683539285270064,0.3669165037815718,0.18274813058467082,1.8130389237504017,-0.16782899232864235,2.186252200472471,3.771083585945786,4.771083585945786,formal,20,0.2,1.03,0.5,,0.25,160,0.1
