date,sz50,zz1000,spread_close,score,base_gross_exposure,base_nav,base_target_vol_scale,base_realized_vol,base_nav_defense_gate,base_decay_gate,return,gross_return,cost,turnover,gross_exposure,nav,nav_defense_gate,decay_gate,overheat_gate,overheat_indicator,overheat_scale
2026-01-27,3052.393,8382.153,1.3716289245345286,-45.27846474810953,0.0,3.125215052453795,1.0,,0,0,0.0,0.0,0.0,0.0,0.0,3.386644743624653,0,0,0,0.17599105582032706,1.0
2026-01-28,3060.557,8399.794,1.3724091552285471,-41.80102272185085,0.0,3.125215052453795,1.0,,0,0,0.0,0.0,0.0,0.0,0.0,3.386644743624653,0,0,0,0.17545186704817498,1.0
2026-01-29,3110.914,8332.207,1.4063056587763652,-32.821542127681504,0.0,3.125215052453795,1.0,,0,0,0.0,0.0,0.0,0.0,0.0,3.386644743624653,0,0,0,0.17614762269957412,1.0
2026-01-30,3066.496,8254.86,1.3992150250682729,-24.800848172965605,0.0,3.125215052453795,1.0,,0,0,0.0,0.0,0.0,0.0,0.0,3.386644743624653,0,0,0,0.20183242863038975,1.0
2026-02-02,3003.137,7975.428,1.4183157175219716,-14.01924594434574,0.0,3.125215052453795,1.0,,0,0,0.0,0.0,0.0,0.0,0.0,3.386644743624653,0,0,0,0.2018064826924706,1.0
2026-02-03,3034.58,8209.101,1.3923703348940095,-7.044476878793442,0.0,3.125215052453795,1.0,,0,0,0.0,0.0,0.0,0.0,0.0,3.386644743624653,0,0,0,0.2094448064223606,1.0
2026-02-04,3069.243,8207.12,1.40861484248553,1.4451590724222017,0.0,3.125215052453795,1.0,,0,0,0.0,0.0,0.0,0.0,0.0,3.386644743624653,0,0,0,0.2138386846340541,1.0
2026-02-05,3059.012,8068.077,1.4281141293332447,11.095570049344987,0.75,3.1564895805447337,1.0,,1,0,0.0,0.0,0.0,0.0,0.0,3.386644743624653,1,0,1,0.21925974933220874,0.0
2026-02-06,3037.86,8051.574,1.4211461288259823,17.93769271463813,0.75,3.1449388120102157,1.0,,1,0,-0.0,-0.0,0.0,0.0,0.0,3.386644743624653,1,0,1,0.22158998665146554,0.0
2026-02-09,3081.779,8233.778,1.4097889681022664,19.845681908441758,0.75,3.126089109560673,1.0,,1,0,-0.0,-0.0,0.0,0.0,0.0,3.386644743624653,1,0,1,0.21631697521486432,0.0
2026-02-10,3087.405,8250.3,1.4095342463242178,23.244037085619063,0.75,3.125665491383941,1.0,,1,0,-0.0,-0.0,0.0,0.0,0.0,3.386644743624653,1,0,1,0.20155696665629214,0.0
2026-02-11,3088.457,8239.513,1.4118604917958366,25.222403825606452,0.75,3.1295343572242476,1.0,,1,0,0.0,0.0,0.0,0.0,0.0,3.386644743624653,1,0,1,0.19391169103736167,0.0
2026-02-12,3079.727,8314.832,1.395116616504918,24.606282510939,0.75,3.101698462689783,1.0,,1,0,-0.0,-0.0,0.0,0.0,0.0,3.386644743624653,1,0,1,0.1890607365669433,0.0
2026-02-13,3034.346,8204.829,1.392987875743262,23.132092934758262,0.75,3.0981489142847716,1.0,,1,0,-0.0,-0.0,0.0,0.0,0.0,3.386644743624653,1,0,1,0.1931453708939471,0.0
2026-02-24,3041.324,8299.771,1.3802201038536852,19.316786948234004,0.75,3.076851281706802,1.0,,1,0,-0.0,-0.0,0.0,0.0,0.0,3.386644743624653,1,0,1,0.19175876841877323,0.0
2026-02-25,3054.925,8426.331,1.3655694970527825,15.00038792950758,0.75,3.0523564177061546,1.0,,1,0,-0.0,-0.0,0.0,0.0,0.0,3.386644743624653,1,0,1,0.1933943330528539,0.0
2026-02-26,3035.071,8490.617,1.3464225413541981,7.921498415073908,0.75,3.020258088090428,1.0,,1,0,-0.0,-0.0,0.0,0.0,0.0,3.386644743624653,1,0,1,0.19332452755923968,0.0
2026-02-27,3039.431,8560.843,1.3372959392611812,-0.3747895082056521,0.75,3.0049036806097194,1.0,,1,0,-0.0,-0.0,0.0,0.0,0.0,3.386644743624653,1,0,1,0.1963645545683878,0.0
