pair,pair_cn,direction,start,end,days,segment_return,win
ZZ1000/CYB,中证1000/创业板,1,2025-10-13,2025-12-10,43,-0.0592073137918284,False
ZZ1000/CYB,中证1000/创业板,-1,2025-12-11,2025-12-29,13,-0.0298982903877542,False
ZZ1000/CYB,中证1000/创业板,1,2025-12-30,2026-02-05,26,0.0644674124244553,True
ZZ1000/CYB,中证1000/创业板,-1,2026-02-06,2026-03-02,11,-0.0595545705569774,False
ZZ1000/CYB,中证1000/创业板,1,2026-03-03,2026-03-13,9,-0.0562130021802019,False
ZZ1000/CYB,中证1000/创业板,-1,2026-03-16,2026-05-07,35,0.1178049320127245,True
ZZ500/CYB,中证500/创业板,1,2023-05-08,2023-05-15,6,-0.0313329012167016,False
ZZ500/CYB,中证500/创业板,-1,2023-05-16,2023-06-05,15,-0.0519670554129096,False
ZZ500/CYB,中证500/创业板,1,2023-06-06,2023-06-21,12,-0.0376940598378359,False
ZZ500/CYB,中证500/创业板,-1,2023-06-26,2023-07-19,18,-0.0269976201559646,False
ZZ500/CYB,中证500/创业板,1,2023-07-20,2023-07-31,8,-0.0199319827237848,False
ZZ500/CYB,中证500/创业板,-1,2023-08-01,2023-08-23,17,-0.0239841450990412,False
ZZ500/CYB,中证500/创业板,1,2023-08-24,2023-10-12,30,0.0215830951979614,True
ZZ500/CYB,中证500/创业板,-1,2023-10-13,2023-10-26,10,-0.0390286129424323,False
ZZ500/CYB,中证500/创业板,1,2023-10-27,2023-10-30,2,-0.0421390352312841,False
ZZ500/CYB,中证500/创业板,-1,2023-10-31,2023-11-23,18,-0.034997700086653,False
ZZ500/CYB,中证500/创业板,1,2023-11-24,2023-12-25,22,0.0141692113158198,True
ZZ500/CYB,中证500/创业板,-1,2023-12-26,2024-01-15,14,-0.0390446472708103,False
ZZ500/CYB,中证500/创业板,1,2024-01-16,2024-01-23,6,-0.048952082491359,False
